T E_media/NP C/NP M_media/NP X/NP
5.68 -0.38240 0.00000 0.01360 0.00000
5.69 0.00000 0.00000 0.00000 0.00000
5.70 -0.39040 0.00000 0.01320 0.00000
5.71 0.00000 0.00000 0.00000 0.00000
5.72 -0.36040 0.00000 0.00940 0.00000
5.73 0.00000 0.00000 0.00000 0.00000
5.74 -0.36520 0.00000 0.00620 0.00000
5.75 0.00000 0.00000 0.00000 0.00000
5.76 -0.36200 0.00000 0.00680 0.00000
5.77 0.00000 0.00000 0.00000 0.00000
5.78 -0.34080 0.00000 0.02460 0.00000
5.79 0.00000 0.00000 0.00000 0.00000
5.80 -0.36280 0.00000 0.03840 0.00000
5.81 0.00000 0.00000 0.00000 0.00000
5.82 -0.36400 0.00000 0.00520 0.00000
5.83 0.00000 0.00000 0.00000 0.00000
5.84 -0.36480 0.00000 0.00120 0.00000
5.85 0.00000 0.00000 0.00000 0.00000
5.86 -0.35280 0.00000 0.00960 0.00000
5.87 0.00000 0.00000 0.00000 0.00000
5.88 -0.34960 0.00000 0.00520 0.00000
5.89 0.00000 0.00000 0.00000 0.00000
5.90 -0.36720 0.00000 0.00320 0.00000
5.91 0.00000 0.00000 0.00000 0.00000
5.92 -0.34080 0.00000 0.00740 0.00000
5.93 0.00000 0.00000 0.00000 0.00000
5.94 -0.34320 0.00000 0.01040 0.00000
5.95 0.00000 0.00000 0.00000 0.00000
5.96 -0.34360 0.00000 0.00540 0.00000
5.97 0.00000 0.00000 0.00000 0.00000
5.98 -0.35480 0.00000 0.01720 0.00000
5.99 0.00000 0.00000 0.00000 0.00000
6.00 -0.36440 0.00000 0.00560 0.00000
