T E_media/NP C/NP M_media/NP X/NP
1.30 -1.98200 0.00000 0.99540 0.00000
1.31 0.00000 0.00000 0.00000 0.00000
1.32 -1.97440 0.00000 0.99340 0.00000
1.33 0.00000 0.00000 0.00000 0.00000
1.34 -1.97120 0.00000 0.99220 0.00000
1.35 0.00000 0.00000 0.00000 0.00000
1.36 -1.97680 0.00000 0.99380 0.00000
1.37 0.00000 0.00000 0.00000 0.00000
1.38 -1.97720 0.00000 0.99400 0.00000
1.39 0.00000 0.00000 0.00000 0.00000
1.40 -1.96680 0.00000 0.99100 0.00000
1.41 0.00000 0.00000 0.00000 0.00000
1.42 -1.96600 0.00000 0.99080 0.00000
1.43 0.00000 0.00000 0.00000 0.00000
1.44 -1.96640 0.00000 0.99060 0.00000
1.45 0.00000 0.00000 0.00000 0.00000
1.46 -1.95840 0.00000 0.98860 0.00000
1.47 0.00000 0.00000 0.00000 0.00000
1.48 -1.95080 0.00000 0.98660 0.00000
1.49 0.00000 0.00000 0.00000 0.00000
1.50 -1.94240 0.00000 0.98320 0.00000
1.51 0.00000 0.00000 0.00000 0.00000
1.52 -1.95000 0.00000 0.98640 0.00000
1.53 0.00000 0.00000 0.00000 0.00000
1.54 -1.95240 0.00000 0.98640 0.00000
1.55 0.00000 0.00000 0.00000 0.00000
1.56 -1.94800 0.00000 0.98540 0.00000
1.57 0.00000 0.00000 0.00000 0.00000
1.58 -1.93400 0.00000 0.98160 0.00000
1.59 0.00000 0.00000 0.00000 0.00000
1.60 -1.92280 0.00000 0.97900 0.00000
1.61 0.00000 0.00000 0.00000 0.00000
1.62 -1.92800 0.00000 0.97940 0.00000
1.63 0.00000 0.00000 0.00000 0.00000
1.64 -1.91400 0.00000 0.97540 0.00000
1.65 0.00000 0.00000 0.00000 0.00000
1.66 -1.91120 0.00000 0.97500 0.00000
1.67 0.00000 0.00000 0.00000 0.00000
1.68 -1.90280 0.00000 0.97180 0.00000
1.69 0.00000 0.00000 0.00000 0.00000
1.70 -1.89440 0.00000 0.96980 0.00000
1.71 0.00000 0.00000 0.00000 0.00000
1.72 -1.89120 0.00000 0.96700 0.00000
1.73 0.00000 0.00000 0.00000 0.00000
1.74 -1.87120 0.00000 0.96040 0.00000
1.75 0.00000 0.00000 0.00000 0.00000
1.76 -1.88600 0.00000 0.96780 0.00000
1.77 0.00000 0.00000 0.00000 0.00000
1.78 -1.85040 0.00000 0.95600 0.00000
1.79 0.00000 0.00000 0.00000 0.00000
1.80 -1.89160 0.00000 0.96760 0.00000
1.81 0.00000 0.00000 0.00000 0.00000
1.82 -1.86680 0.00000 0.96080 0.00000
1.83 0.00000 0.00000 0.00000 0.00000
1.84 -1.84600 0.00000 0.95260 0.00000
1.85 0.00000 0.00000 0.00000 0.00000
1.86 -1.83440 0.00000 0.94760 0.00000
1.87 0.00000 0.00000 0.00000 0.00000
1.88 -1.85160 0.00000 0.95700 0.00000
1.89 0.00000 0.00000 0.00000 0.00000
1.90 -1.83080 0.00000 0.94880 0.00000
1.91 0.00000 0.00000 0.00000 0.00000
1.92 -1.81240 0.00000 0.94080 0.00000
1.93 0.00000 0.00000 0.00000 0.00000
1.94 -1.80720 0.00000 0.94080 0.00000
1.95 0.00000 0.00000 0.00000 0.00000
1.96 -1.79600 0.00000 0.93320 0.00000
1.97 0.00000 0.00000 0.00000 0.00000
1.98 -1.77400 0.00000 0.92520 0.00000
1.99 0.00000 0.00000 0.00000 0.00000
2.00 -1.72120 0.00000 0.90940 0.00000
2.01 0.00000 0.00000 0.00000 0.00000
2.02 -1.72880 0.00000 0.90980 0.00000
2.03 0.00000 0.00000 0.00000 0.00000
2.04 -1.74920 0.00000 0.91900 0.00000
2.05 0.00000 0.00000 0.00000 0.00000
2.06 -1.72160 0.00000 0.90140 0.00000
2.07 0.00000 0.00000 0.00000 0.00000
2.08 -1.69600 0.00000 0.89280 0.00000
2.09 0.00000 0.00000 0.00000 0.00000
2.10 -1.67720 0.00000 0.87140 0.00000
2.11 0.00000 0.00000 0.00000 0.00000
2.12 -1.65120 0.00000 0.85860 0.00000
2.13 0.00000 0.00000 0.00000 0.00000
2.14 -1.65280 0.00000 0.86360 0.00000
2.15 0.00000 0.00000 0.00000 0.00000
2.16 -1.61920 0.00000 0.85080 0.00000
2.17 0.00000 0.00000 0.00000 0.00000
2.18 -1.59000 0.00000 0.83660 0.00000
2.19 0.00000 0.00000 0.00000 0.00000
2.20 -1.57840 0.00000 0.82900 0.00000
2.21 0.00000 0.00000 0.00000 0.00000
2.22 -1.55160 0.00000 0.81040 0.00000
2.23 0.00000 0.00000 0.00000 0.00000
2.24 -1.51560 0.00000 0.79000 0.00000
2.25 0.00000 0.00000 0.00000 0.00000
2.26 -1.50480 0.00000 0.77280 0.00000
2.27 0.00000 0.00000 0.00000 0.00000
2.28 -1.46680 0.00000 0.74300 0.00000
2.29 0.00000 0.00000 0.00000 0.00000
2.30 -1.45520 0.00000 0.74760 0.00000
2.31 0.00000 0.00000 0.00000 0.00000
2.32 -1.41760 0.00000 0.70840 0.00000
2.33 0.00000 0.00000 0.00000 0.00000
2.34 -1.42400 0.00000 0.69860 0.00000
2.35 0.00000 0.00000 0.00000 0.00000
2.36 -1.37600 0.00000 0.67580 0.00000
2.37 0.00000 0.00000 0.00000 0.00000
2.38 -1.36480 0.00000 0.66960 0.00000
2.39 0.00000 0.00000 0.00000 0.00000
2.40 -1.31600 0.00000 0.62000 0.00000
2.41 0.00000 0.00000 0.00000 0.00000
2.42 -1.33680 0.00000 0.61220 0.00000
2.43 0.00000 0.00000 0.00000 0.00000
2.44 -1.30000 0.00000 0.59100 0.00000
2.45 0.00000 0.00000 0.00000 0.00000
2.46 -1.26920 0.00000 0.54280 0.00000
2.47 0.00000 0.00000 0.00000 0.00000
2.48 -1.24360 0.00000 0.51900 0.00000
2.49 0.00000 0.00000 0.00000 0.00000
2.50 -1.23200 0.00000 0.50240 0.00000
2.51 0.00000 0.00000 0.00000 0.00000
2.52 -1.17160 0.00000 0.46040 0.00000
2.53 0.00000 0.00000 0.00000 0.00000
2.54 -1.19720 0.00000 0.43420 0.00000
2.55 0.00000 0.00000 0.00000 0.00000
2.56 -1.11040 0.00000 0.36560 0.00000
2.57 0.00000 0.00000 0.00000 0.00000
2.58 -1.10160 0.00000 0.29340 0.00000
2.59 0.00000 0.00000 0.00000 0.00000
2.60 -1.10960 0.00000 0.31560 0.00000
2.61 0.00000 0.00000 0.00000 0.00000
2.62 -1.04840 0.00000 0.28220 0.00000
2.63 0.00000 0.00000 0.00000 0.00000
2.64 -1.02680 0.00000 0.17480 0.00000
2.65 0.00000 0.00000 0.00000 0.00000
2.66 -0.98480 0.00000 0.15400 0.00000
2.67 0.00000 0.00000 0.00000 0.00000
2.68 -0.99880 0.00000 0.09900 0.00000
2.69 0.00000 0.00000 0.00000 0.00000
2.70 -0.99480 0.00000 0.08520 0.00000
2.71 0.00000 0.00000 0.00000 0.00000
2.72 -0.97800 0.00000 0.05260 0.00000
2.73 0.00000 0.00000 0.00000 0.00000
2.74 -0.96560 0.00000 0.03460 0.00000
2.75 0.00000 0.00000 0.00000 0.00000
2.76 -0.94920 0.00000 0.03220 0.00000
2.77 0.00000 0.00000 0.00000 0.00000
2.78 -0.92040 0.00000 0.07780 0.00000
2.79 0.00000 0.00000 0.00000 0.00000
2.80 -0.92520 0.00000 0.07660 0.00000
2.81 0.00000 0.00000 0.00000 0.00000
2.82 -0.89400 0.00000 0.04280 0.00000
2.83 0.00000 0.00000 0.00000 0.00000
2.84 -0.88560 0.00000 0.02740 0.00000
2.85 0.00000 0.00000 0.00000 0.00000
2.86 -0.90680 0.00000 0.01320 0.00000
2.87 0.00000 0.00000 0.00000 0.00000
2.88 -0.86000 0.00000 0.05280 0.00000
2.89 0.00000 0.00000 0.00000 0.00000
2.90 -0.86160 0.00000 0.07140 0.00000
2.91 0.00000 0.00000 0.00000 0.00000
2.92 -0.82160 0.00000 0.05820 0.00000
2.93 0.00000 0.00000 0.00000 0.00000
2.94 -0.85040 0.00000 0.02460 0.00000
2.95 0.00000 0.00000 0.00000 0.00000
2.96 -0.82800 0.00000 0.00060 0.00000
2.97 0.00000 0.00000 0.00000 0.00000
2.98 -0.82280 0.00000 0.02540 0.00000
2.99 0.00000 0.00000 0.00000 0.00000
3.00 -0.81120 0.00000 0.05660 0.00000
3.01 0.00000 0.00000 0.00000 0.00000
3.02 -0.82040 0.00000 0.03460 0.00000
3.03 0.00000 0.00000 0.00000 0.00000
3.04 -0.79960 0.00000 0.01500 0.00000
3.05 0.00000 0.00000 0.00000 0.00000
3.06 -0.76520 0.00000 0.04760 0.00000
3.07 0.00000 0.00000 0.00000 0.00000
3.08 -0.76960 0.00000 0.02700 0.00000
3.09 0.00000 0.00000 0.00000 0.00000
3.10 -0.79720 0.00000 0.02020 0.00000
3.11 0.00000 0.00000 0.00000 0.00000
3.12 -0.75040 0.00000 0.00320 0.00000
3.13 0.00000 0.00000 0.00000 0.00000
3.14 -0.76080 0.00000 0.00160 0.00000
3.15 0.00000 0.00000 0.00000 0.00000
3.16 -0.74280 0.00000 0.05620 0.00000
3.17 0.00000 0.00000 0.00000 0.00000
3.18 -0.76840 0.00000 0.03160 0.00000
3.19 0.00000 0.00000 0.00000 0.00000
3.20 -0.75800 0.00000 0.04060 0.00000
3.21 0.00000 0.00000 0.00000 0.00000
3.22 -0.74120 0.00000 0.00320 0.00000
3.23 0.00000 0.00000 0.00000 0.00000
3.24 -0.75480 0.00000 0.01080 0.00000
3.25 0.00000 0.00000 0.00000 0.00000
3.26 -0.72960 0.00000 0.01080 0.00000
3.27 0.00000 0.00000 0.00000 0.00000
3.28 -0.72080 0.00000 0.03980 0.00000
3.29 0.00000 0.00000 0.00000 0.00000
3.30 -0.71480 0.00000 0.02860 0.00000
3.31 0.00000 0.00000 0.00000 0.00000
3.32 -0.72440 0.00000 0.02200 0.00000
3.33 0.00000 0.00000 0.00000 0.00000
3.34 -0.70240 0.00000 0.03000 0.00000
3.35 0.00000 0.00000 0.00000 0.00000
3.36 -0.69560 0.00000 0.03220 0.00000
3.37 0.00000 0.00000 0.00000 0.00000
3.38 -0.70040 0.00000 0.03720 0.00000
3.39 0.00000 0.00000 0.00000 0.00000
3.40 -0.67880 0.00000 0.04260 0.00000
3.41 0.00000 0.00000 0.00000 0.00000
3.42 -0.69080 0.00000 0.00660 0.00000
3.43 0.00000 0.00000 0.00000 0.00000
3.44 -0.69680 0.00000 0.03160 0.00000
3.45 0.00000 0.00000 0.00000 0.00000
3.46 -0.72600 0.00000 0.01180 0.00000
3.47 0.00000 0.00000 0.00000 0.00000
3.48 -0.66640 0.00000 0.01280 0.00000
3.49 0.00000 0.00000 0.00000 0.00000
3.50 -0.64800 0.00000 0.02100 0.00000
3.51 0.00000 0.00000 0.00000 0.00000
3.52 -0.66080 0.00000 0.00800 0.00000
3.53 0.00000 0.00000 0.00000 0.00000
3.54 -0.62640 0.00000 0.02120 0.00000
3.55 0.00000 0.00000 0.00000 0.00000
3.56 -0.68240 0.00000 0.02720 0.00000
3.57 0.00000 0.00000 0.00000 0.00000
3.58 -0.62920 0.00000 0.01220 0.00000
3.59 0.00000 0.00000 0.00000 0.00000
3.60 -0.61440 0.00000 0.00800 0.00000
3.61 0.00000 0.00000 0.00000 0.00000
3.62 -0.66360 0.00000 0.03440 0.00000
3.63 0.00000 0.00000 0.00000 0.00000
3.64 -0.63360 0.00000 0.00300 0.00000
3.65 0.00000 0.00000 0.00000 0.00000
3.66 -0.65040 0.00000 0.00020 0.00000
3.67 0.00000 0.00000 0.00000 0.00000
3.68 -0.59760 0.00000 0.01760 0.00000
3.69 0.00000 0.00000 0.00000 0.00000
3.70 -0.61240 0.00000 0.04340 0.00000
3.71 0.00000 0.00000 0.00000 0.00000
3.72 -0.58880 0.00000 0.03980 0.00000
3.73 0.00000 0.00000 0.00000 0.00000
3.74 -0.61200 0.00000 0.01880 0.00000
3.75 0.00000 0.00000 0.00000 0.00000
3.76 -0.61440 0.00000 0.00140 0.00000
3.77 0.00000 0.00000 0.00000 0.00000
3.78 -0.59080 0.00000 0.02480 0.00000
3.79 0.00000 0.00000 0.00000 0.00000
3.80 -0.60080 0.00000 0.00460 0.00000
3.81 0.00000 0.00000 0.00000 0.00000
3.82 -0.61360 0.00000 0.00300 0.00000
3.83 0.00000 0.00000 0.00000 0.00000
3.84 -0.60200 0.00000 0.02520 0.00000
3.85 0.00000 0.00000 0.00000 0.00000
3.86 -0.58440 0.00000 0.02360 0.00000
3.87 0.00000 0.00000 0.00000 0.00000
3.88 -0.57160 0.00000 0.01620 0.00000
3.89 0.00000 0.00000 0.00000 0.00000
3.90 -0.61200 0.00000 0.00340 0.00000
3.91 0.00000 0.00000 0.00000 0.00000
3.92 -0.57480 0.00000 0.02640 0.00000
3.93 0.00000 0.00000 0.00000 0.00000
3.94 -0.55960 0.00000 0.00220 0.00000
3.95 0.00000 0.00000 0.00000 0.00000
3.96 -0.52200 0.00000 0.02440 0.00000
3.97 0.00000 0.00000 0.00000 0.00000
